id,price,model,mileage,motorcycle_class,year,engine_capacity,engine_strokes,damaged,documents,city,date
1,150 000₽,Honda CRM 250,2 150 км,Эндуро,1992,250 куб. см.,2х тактный,Исправен,Есть ПТС,Москва,30 ноября
2,595 000₽,Suzuki V-Strom DL650A,2 км,Эндуро,2014,645 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,30 ноября
3,159 000₽,Yamaha XVS 400,36 000 км,Чоппер,1997,400 куб. см.,4х тактный,Исправен,Есть ПТС,Краснознаменск,30 ноября
4,98 000₽,Suzuki GN 125,2 677 км,Классика,2008,125 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,30 ноября
5,350 000₽,Yamaha XJ,22 446 км,Спорт-турист,2011,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,30 ноября
6,350 000₽,Kawasaki VN Vulcan 900,19 175 км,Чоппер,2008,900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,30 ноября
7,285 000₽,Suzuki VL1500 Intruder,37 000 км,Чоппер,1999,1 500 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,29 ноября
8,290 000₽,Honda CB 750,37 862 км,Классика,2006,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,29 ноября
9,260 000₽,Kawasaki KX 85-II,1 км,Эндуро,2013,85 куб. см.,2х тактный,Исправен,Без ПТС,Москва,29 ноября
10,179 900₽,Bajaj Pulsar,1 км,Классика,2017,198 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,29 ноября
11,285 000₽,Honda CBR 250R,321 км,Спортивный,2012,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,29 ноября
12,430 000₽,Yamaha FJR 1300,47 935 км,Спорт-турист,2002,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,29 ноября
13,215 000₽,Kawasaki ZZR 400,48 125 км,Спортивный,2006,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,29 ноября
14,440 000₽,Yamaha XT 250,16 км,Кроссовый,2013,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,29 ноября
15,360 000₽,Yamaha XT 250,2 310 км,Кроссовый,2010,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,29 ноября
16,455 000₽,Suzuki RM-Z 250,1 км,Спортивный,2016,250 куб. см.,4х тактный,Исправен,Без ПТС,Москва,29 ноября
